Current Evaluation Model of Likelihood to Leave,EmployeeLeft,Hired through SMTP,Marked for PHT Program,Recruiting Location Code,Salary,"Survey, Relative, Attitude toward Environment","Survey, Relative, Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Work/Life Balance",University
26.1,0.0,1,0,45998,43613.1,2,3,5,1,NHTV Breda University of Professional Education
36.0,1.0,0,0,81996,51500.79,5,5,1,3,NHTV Breda University of Professional Education
37.4,0.0,0,1,81996,50922.84,5,2,1,2,Université de Corse Pascal Paoli
46.7,1.0,1,1,81996,61639.12,3,7,2,5,St. Norbert College
55.5,1.0,0,0,63997,46811.91,5,4,1,2,Enugu State University of Science and Technology
46.6,1.0,1,1,81996,56697.11,5,4,1,2,Enugu State University of Science and Technology
33.8,0.0,1,1,10000,56149.9,4,6,2,2,Nazarene Bible College
26.2,1.0,0,1,81996,52195.38,4,1,5,4,St. Norbert College
41.3,0.0,1,1,27999,48790.37,5,4,4,1,NHTV Breda University of Professional Education
25.9,1.0,0,1,45998,42567.17,5,3,1,4,NHTV Breda University of Professional Education
29.1,1.0,0,0,45998,55712.45,2,5,1,4,St. Norbert College
47.2,1.0,0,1,45998,49993.9,4,3,7,2,St. Norbert College
16.1,1.0,1,0,81996,44481.3,5,6,7,2,St. Norbert College
48.4,1.0,0,1,45998,55863.93,5,6,2,3,St. Norbert College
42.1,0.0,0,0,63997,48214.38,5,7,5,1,Nazarene Bible College
27.9,1.0,0,1,27999,46437.75,5,4,2,4,St. Norbert College
41.1,1.0,1,1,27999,81341.77,5,1,1,2,St. Norbert College
24.6,0.0,1,1,45998,46247.85,4,5,3,3,Université de Corse Pascal Paoli
25.3,0.0,0,1,63997,56812.47,2,5,1,1,Enugu State University of Science and Technology
43.7,1.0,1,0,27999,52484.06,4,4,3,2,Enugu State University of Science and Technology
34.7,0.0,0,1,63997,48239.23,5,5,7,2,NHTV Breda University of Professional Education
45.1,0.0,1,1,81996,51050.36,3,6,5,2,St. Norbert College
47.7,1.0,1,1,45998,46713.92,4,8,1,1,St. Norbert College
21.7,0.0,0,1,27999,47799.18,3,2,5,1,NHTV Breda University of Professional Education
42.8,0.0,1,1,81996,54157.98,4,2,3,1,St. Norbert College
45.7,0.0,1,1,81996,47722.23,2,5,3,4,Université de Corse Pascal Paoli
37.7,1.0,0,1,27999,47782.41,5,3,1,5,Université de Corse Pascal Paoli
42.6,1.0,0,0,45998,48636.33,4,1,6,1,Enugu State University of Science and Technology
35.8,0.0,1,1,27999,48629.28,2,8,1,2,St. Norbert College
26.9,1.0,1,1,81996,46754.19,5,7,4,5,NHTV Breda University of Professional Education
32.6,0.0,0,1,10000,49188.91,5,3,1,3,Université de Corse Pascal Paoli
50.9,1.0,1,0,45998,46416.49,3,1,1,3,St. Norbert College
57.3,1.0,1,1,10000,44108.4,5,4,7,5,Enugu State University of Science and Technology
31.0,1.0,1,0,27999,41031.48,5,2,1,3,St. Norbert College
34.2,0.0,1,1,45998,52048.56,2,4,1,1,NHTV Breda University of Professional Education
36.1,0.0,1,1,81996,44149.9,3,4,1,2,NHTV Breda University of Professional Education
40.8,1.0,0,1,45998,46855.33,5,6,1,4,St. Norbert College
31.6,1.0,1,0,27999,48932.85,5,6,1,3,NHTV Breda University of Professional Education
41.2,1.0,0,1,27999,56095.45,5,3,1,3,COMSATS Institute of Information Technology
40.2,1.0,0,0,27999,41673.58,5,4,1,3,St. Norbert College
27.6,1.0,1,0,81996,44937.45,2,4,7,2,NHTV Breda University of Professional Education
34.6,1.0,0,0,27999,43241.57,4,4,3,4,St. Norbert College
47.6,0.0,1,0,63997,42775.18,4,3,7,2,Université de Corse Pascal Paoli
52.7,1.0,0,1,27999,53269.09,5,6,1,3,COMSATS Institute of Information Technology
26.7,0.0,1,0,45998,44808.51,4,3,4,1,St. Norbert College
49.0,0.0,1,0,81996,42929.56,3,4,3,3,St. Norbert College
44.1,0.0,0,1,10000,49371.02,3,5,3,2,Université de Corse Pascal Paoli
6.9,0.0,1,0,45998,49690.04,3,1,3,1,Université de Corse Pascal Paoli
37.5,0.0,1,1,81996,44919.74,5,2,2,3,COMSATS Institute of Information Technology
28.2,0.0,1,1,45998,43039.73,5,3,1,2,Université de Corse Pascal Paoli
33.5,0.0,1,1,81996,47801.67,3,1,1,3,NHTV Breda University of Professional Education
25.5,0.0,1,0,27999,47674.79,3,2,2,3,NHTV Breda University of Professional Education
44.9,0.0,0,1,63997,43160.31,2,6,2,2,NHTV Breda University of Professional Education
27.5,0.0,0,1,81996,48602.41,4,6,1,2,St. Norbert College
25.9,1.0,1,0,63997,53435.77,5,3,6,4,St. Norbert College
39.3,1.0,0,0,81996,56100.61,4,3,4,3,Université de Corse Pascal Paoli
42.1,1.0,0,1,45998,41504.53,5,3,4,2,St. Norbert College
33.2,0.0,1,0,45998,60975.68,3,4,1,1,St. Norbert College
33.1,1.0,1,1,45998,53726.33,5,7,5,5,St. Norbert College
31.1,1.0,1,1,45998,53767.94,5,2,2,4,St. Norbert College
46.5,0.0,1,1,10000,51075.91,4,3,1,1,St. Norbert College
37.7,0.0,0,0,45998,48573.49,2,3,1,2,Enugu State University of Science and Technology
38.5,0.0,0,1,63997,44672.46,1,7,1,2,NHTV Breda University of Professional Education
48.0,1.0,0,0,27999,49623.77,4,4,1,1,St. Norbert College
41.2,0.0,0,1,81996,43071.53,3,2,3,1,Université de Corse Pascal Paoli
38.8,0.0,1,0,27999,45207.6,2,2,2,2,St. Norbert College
36.0,0.0,0,0,81996,51730.98,4,4,1,1,Enugu State University of Science and Technology
32.8,0.0,1,1,63997,52868.13,2,5,1,3,Enugu State University of Science and Technology
38.1,0.0,1,0,45998,52762.79,3,2,1,2,St. Norbert College
42.3,1.0,1,0,27999,56267.1,4,4,5,1,St. Norbert College
59.2,1.0,0,0,45998,43087.67,5,4,5,3,St. Norbert College
13.3,0.0,1,0,63997,53568.86,1,5,3,2,Enugu State University of Science and Technology
33.3,0.0,1,1,10000,57542.97,2,4,2,3,Université de Corse Pascal Paoli
37.9,0.0,1,0,81996,45893.33,5,3,2,1,St. Norbert College
37.0,1.0,0,1,27999,49427.91,4,4,3,3,St. Norbert College
21.5,1.0,1,0,63997,52755.89,2,6,2,4,St. Norbert College
46.1,1.0,1,1,81996,47863.61,5,1,4,3,St. Norbert College
28.5,0.0,1,1,27999,44004.65,2,2,1,2,Nazarene Bible College
45.8,1.0,0,0,63997,54648.19,5,5,7,1,NHTV Breda University of Professional Education
37.2,0.0,1,1,45998,44982.23,3,2,2,1,St. Norbert College
53.1,0.0,1,0,27999,45630.91,5,1,1,3,Université de Corse Pascal Paoli
36.2,1.0,1,0,45998,46478.75,3,5,4,4,St. Norbert College
41.8,0.0,1,1,63997,43737.45,3,5,1,3,St. Norbert College
22.4,1.0,0,0,81996,66370.71,5,4,3,2,Enugu State University of Science and Technology
35.9,0.0,1,1,10000,56940.88,3,4,2,1,St. Norbert College
42.9,0.0,1,1,45998,44176.15,4,5,5,1,COMSATS Institute of Information Technology
32.9,1.0,1,0,27999,56780.72,5,4,1,3,St. Norbert College
19.1,0.0,1,0,63997,42540.01,4,5,6,4,Nazarene Bible College
28.4,0.0,1,1,27999,44884.1,3,6,5,2,St. Norbert College
47.8,0.0,1,0,10000,47666.35,1,4,2,2,Enugu State University of Science and Technology
44.4,1.0,0,0,27999,61835.09,4,4,7,3,Enugu State University of Science and Technology
20.2,0.0,1,1,45998,42963.73,3,4,3,2,St. Norbert College
51.3,1.0,1,1,10000,53293.56,5,5,1,1,St. Norbert College
25.7,0.0,0,0,27999,40411.73,5,5,4,1,Enugu State University of Science and Technology
27.0,1.0,0,0,63997,43987.57,4,6,5,5,Université de Corse Pascal Paoli
55.9,1.0,0,1,45998,46673.24,4,2,1,3,St. Norbert College
44.3,0.0,1,1,81996,51017.39,4,1,1,1,St. Norbert College
20.4,0.0,1,0,81996,46988.85,4,5,1,1,St. Norbert College
17.9,0.0,0,1,45998,45035.66,5,1,1,1,St. Norbert College
44.1,1.0,0,0,81996,44038.45,5,6,5,2,Enugu State University of Science and Technology
33.5,1.0,0,0,81996,42060.62,5,3,3,3,St. Norbert College
29.8,0.0,1,1,45998,46778.94,3,5,1,4,NHTV Breda University of Professional Education
28.9,1.0,0,1,63997,57285.13,5,8,1,4,NHTV Breda University of Professional Education
54.4,1.0,0,1,45998,53562.44,5,3,6,3,Enugu State University of Science and Technology
38.2,1.0,0,1,10000,54990.03,4,4,3,3,Enugu State University of Science and Technology
32.4,1.0,1,1,45998,60109.53,3,3,1,3,St. Norbert College
30.0,0.0,0,0,27999,44931.13,4,3,4,1,St. Norbert College
49.8,0.0,0,1,27999,48252.07,3,5,7,1,St. Norbert College
41.0,0.0,0,1,27999,40874.28,4,7,1,3,COMSATS Institute of Information Technology
27.0,0.0,0,0,63997,43757.03,4,5,7,2,St. Norbert College
11.4,0.0,0,1,45998,46214.58,5,4,1,1,COMSATS Institute of Information Technology
38.7,1.0,1,0,81996,53692.69,4,4,1,3,NHTV Breda University of Professional Education
36.3,0.0,0,1,81996,46721.66,2,3,2,1,St. Norbert College
37.4,0.0,1,1,81996,42582.56,5,7,7,2,NHTV Breda University of Professional Education
27.7,1.0,0,0,81996,53582.46,3,6,3,2,St. Norbert College
40.4,1.0,0,1,63997,61203.91,5,3,1,1,St. Norbert College
38.2,0.0,1,1,63997,44602.03,2,2,1,1,Enugu State University of Science and Technology
22.8,0.0,0,0,27999,55047.41,4,4,2,5,Enugu State University of Science and Technology
50.4,0.0,1,1,81996,41755.08,4,1,1,3,NHTV Breda University of Professional Education
31.7,1.0,0,1,45998,52692.27,5,4,2,2,Enugu State University of Science and Technology
26.1,0.0,1,1,81996,44881.39,3,6,5,3,St. Norbert College
46.0,0.0,1,1,63997,45762.2,5,5,1,3,Université de Corse Pascal Paoli
29.7,0.0,0,1,63997,43685.43,4,3,3,4,COMSATS Institute of Information Technology
43.9,1.0,0,0,45998,59874.3,5,4,5,3,COMSATS Institute of Information Technology
42.3,1.0,0,0,27999,47322.56,5,3,2,2,St. Norbert College
56.7,1.0,0,1,63997,50704.67,4,4,2,3,Enugu State University of Science and Technology
26.8,0.0,0,1,27999,52551.52,4,3,1,1,COMSATS Institute of Information Technology
49.3,0.0,0,1,10000,44149.48,3,2,1,4,COMSATS Institute of Information Technology
40.4,1.0,0,0,45998,50487.63,4,2,3,2,St. Norbert College
38.6,1.0,1,1,81996,43738.16,3,6,2,3,St. Norbert College
41.8,1.0,1,0,27999,43868.34,5,8,5,2,St. Norbert College
40.4,0.0,1,0,27999,50040.69,3,6,7,1,COMSATS Institute of Information Technology
21.1,0.0,0,0,81996,61939.51,2,2,1,3,Nazarene Bible College
48.7,1.0,1,0,45998,50685.79,4,3,3,4,Enugu State University of Science and Technology
44.1,1.0,1,0,45998,51310.11,5,4,1,3,Université de Corse Pascal Paoli
25.3,1.0,0,0,81996,45707.3,5,8,2,4,NHTV Breda University of Professional Education
45.7,1.0,0,1,63997,63029.38,4,7,1,2,St. Norbert College
40.6,1.0,0,0,27999,49493.73,4,3,1,2,Enugu State University of Science and Technology
17.9,0.0,1,0,81996,47173.16,3,4,3,2,St. Norbert College
31.4,0.0,0,0,63997,48798.43,2,5,1,2,Enugu State University of Science and Technology
42.5,1.0,0,0,63997,56507.53,5,3,7,1,COMSATS Institute of Information Technology
38.7,0.0,0,1,27999,53078.9,5,2,6,3,St. Norbert College
40.5,1.0,0,1,81996,68355.26,5,5,1,2,Université de Corse Pascal Paoli
37.8,0.0,1,1,81996,51193.39,1,6,1,2,Nazarene Bible College
40.8,0.0,1,0,81996,43426.31,2,2,1,3,St. Norbert College
38.8,1.0,0,1,81996,41188.37,4,1,3,1,COMSATS Institute of Information Technology
33.3,0.0,0,1,10000,44884.24,4,3,4,2,Nazarene Bible College
37.8,1.0,1,0,45998,69086.37,5,6,1,4,Enugu State University of Science and Technology
44.9,0.0,1,1,63997,43877.65,5,6,3,2,St. Norbert College
39.9,1.0,1,1,10000,56809.45,5,6,3,1,Enugu State University of Science and Technology
29.4,0.0,0,0,63997,47816.17,2,3,2,3,St. Norbert College
54.6,0.0,1,0,81996,43488.38,3,3,4,3,Enugu State University of Science and Technology
37.2,0.0,0,1,45998,45573.8,1,3,2,2,Nazarene Bible College
34.8,0.0,0,0,27999,43351.17,2,2,1,2,NHTV Breda University of Professional Education
47.8,0.0,0,0,81996,54385.47,2,2,3,3,NHTV Breda University of Professional Education
35.2,0.0,0,0,27999,44176.98,1,6,1,3,NHTV Breda University of Professional Education
38.4,1.0,0,0,27999,56728.43,5,3,1,3,NHTV Breda University of Professional Education
25.6,1.0,0,1,45998,50627.79,4,5,1,4,St. Norbert College
42.4,1.0,0,0,81996,45011.44,5,6,2,3,St. Norbert College
58.4,0.0,1,0,45998,44200.92,4,1,7,1,St. Norbert College
16.7,0.0,0,1,81996,51869.32,4,3,1,1,Université de Corse Pascal Paoli
31.7,1.0,1,0,45998,48282.32,5,7,4,3,St. Norbert College
39.7,1.0,0,0,81996,41505.41,5,4,2,5,NHTV Breda University of Professional Education
47.5,1.0,0,0,45998,43921.96,5,1,1,5,COMSATS Institute of Information Technology
37.5,0.0,1,0,45998,49873.06,3,2,6,1,St. Norbert College
30.2,0.0,1,1,81996,42983.23,5,3,4,2,COMSATS Institute of Information Technology
37.0,0.0,1,1,10000,47127.01,3,2,1,3,Université de Corse Pascal Paoli
36.1,1.0,0,0,81996,46902.39,5,5,5,3,Nazarene Bible College
64.9,1.0,0,1,27999,44126.38,1,2,5,1,St. Norbert College
60.8,0.0,1,1,81996,55916.92,2,6,2,2,COMSATS Institute of Information Technology
20.4,1.0,1,1,27999,48868.84,5,5,5,4,Enugu State University of Science and Technology
22.2,0.0,0,1,45998,50733.36,5,1,1,3,Université de Corse Pascal Paoli
52.1,1.0,1,1,81996,43758.51,4,4,1,2,St. Norbert College
30.7,1.0,0,0,81996,46016.43,5,5,7,2,Enugu State University of Science and Technology
39.9,0.0,0,1,63997,48717.75,2,5,2,1,Université de Corse Pascal Paoli
35.5,1.0,1,0,81996,63452.84,5,3,4,1,NHTV Breda University of Professional Education
40.6,0.0,1,0,81996,46784.88,2,3,1,3,Enugu State University of Science and Technology
42.9,0.0,1,1,27999,53860.95,3,3,4,1,Nazarene Bible College
29.4,1.0,0,0,81996,60383.45,5,4,5,3,Enugu State University of Science and Technology
48.1,0.0,0,1,45998,46127.24,2,4,1,1,St. Norbert College
37.4,1.0,0,0,45998,51831.73,4,8,5,3,Enugu State University of Science and Technology
41.4,0.0,0,0,63997,49164.69,4,4,1,1,Université de Corse Pascal Paoli
43.0,1.0,1,1,81996,52660.03,5,8,7,3,Enugu State University of Science and Technology
48.7,0.0,1,1,27999,45462.96,3,4,1,3,St. Norbert College
24.8,1.0,0,1,81996,45657.45,3,4,1,4,St. Norbert College
21.8,0.0,0,0,27999,46658.5,1,2,1,3,St. Norbert College
35.6,1.0,1,0,63997,52955.28,4,2,7,3,COMSATS Institute of Information Technology
46.6,0.0,1,1,45998,44934.41,5,4,5,1,St. Norbert College
19.4,0.0,1,0,81996,52980.37,2,3,1,3,St. Norbert College
50.4,1.0,1,0,81996,52877.29,4,4,1,3,St. Norbert College
37.9,0.0,1,0,27999,55102.75,3,2,1,3,COMSATS Institute of Information Technology
36.1,1.0,0,0,63997,47395.16,5,7,1,4,NHTV Breda University of Professional Education
34.6,1.0,1,0,81996,63926.3,4,2,7,1,Enugu State University of Science and Technology
48.1,1.0,1,1,63997,42364.33,4,6,2,4,St. Norbert College
36.8,0.0,0,1,63997,40956.1,3,3,3,3,COMSATS Institute of Information Technology
34.5,1.0,1,1,81996,52772.45,4,4,4,4,St. Norbert College
45.5,1.0,0,0,63997,43058.93,5,3,5,3,St. Norbert College
50.5,1.0,1,1,45998,43874.3,5,3,6,5,Université de Corse Pascal Paoli
32.5,0.0,1,1,63997,52919.28,2,5,1,2,Université de Corse Pascal Paoli
51.2,1.0,0,0,63997,58726.95,4,5,4,4,St. Norbert College
30.7,0.0,1,0,81996,46989.83,5,4,2,2,Université de Corse Pascal Paoli
24.2,1.0,0,0,27999,44620.69,4,2,4,5,St. Norbert College
55.0,0.0,1,0,63997,50725.65,3,3,2,1,St. Norbert College
36.2,0.0,1,1,81996,52958.11,3,4,3,1,Enugu State University of Science and Technology
37.4,0.0,1,1,27999,42371.53,3,1,5,1,NHTV Breda University of Professional Education
35.5,1.0,1,0,45998,49244.76,5,3,2,2,Enugu State University of Science and Technology
32.6,0.0,0,0,45998,42854.2,3,4,2,4,NHTV Breda University of Professional Education
38.1,1.0,0,0,63997,49791.89,3,4,3,4,Enugu State University of Science and Technology
29.9,1.0,1,0,10000,66587.93,4,4,3,1,COMSATS Institute of Information Technology
38.4,0.0,0,1,10000,56359.98,1,4,2,3,St. Norbert College
38.8,1.0,1,1,45998,47068.63,4,3,7,5,St. Norbert College
40.3,1.0,0,1,81996,48963.07,4,1,2,4,Enugu State University of Science and Technology
44.0,1.0,0,0,45998,43035.36,4,5,1,3,St. Norbert College
38.4,1.0,1,1,27999,49721.67,5,4,7,3,Enugu State University of Science and Technology
24.4,1.0,1,0,27999,47777.97,5,8,1,1,St. Norbert College
50.3,0.0,1,0,27999,48643.05,3,5,4,1,Enugu State University of Science and Technology
40.2,0.0,1,1,63997,43282.26,5,7,1,1,Enugu State University of Science and Technology
42.1,0.0,0,0,63997,41136.04,2,7,3,1,Université de Corse Pascal Paoli
40.0,0.0,1,1,81996,49612.97,4,4,2,3,Nazarene Bible College
26.2,0.0,1,1,45998,51928.15,3,3,3,1,St. Norbert College
28.7,0.0,0,1,45998,43797.11,5,1,3,1,COMSATS Institute of Information Technology
25.1,0.0,0,0,27999,44761.64,4,5,2,2,COMSATS Institute of Information Technology
14.1,1.0,0,0,63997,56954.39,5,2,2,4,St. Norbert College
33.8,0.0,0,0,10000,49254.2,4,3,6,1,Université de Corse Pascal Paoli
44.2,1.0,1,0,63997,42638.65,5,3,4,2,St. Norbert College
30.4,0.0,0,1,81996,50992.58,5,3,1,1,Nazarene Bible College
32.9,1.0,0,0,10000,47895.62,2,7,1,4,St. Norbert College
39.8,1.0,0,1,27999,47084.7,5,4,3,4,St. Norbert College
31.5,0.0,0,0,63997,47456.01,4,8,2,1,NHTV Breda University of Professional Education
37.2,1.0,0,0,63997,51746.5,4,2,1,2,St. Norbert College
28.4,1.0,1,0,63997,49181.77,4,7,4,2,St. Norbert College
35.3,1.0,0,1,27999,42959.32,5,2,3,2,St. Norbert College
39.8,0.0,1,0,63997,43154.07,4,4,1,1,St. Norbert College
48.0,1.0,0,0,27999,42500.51,4,5,2,2,Enugu State University of Science and Technology
20.8,0.0,1,1,27999,53516.09,5,4,6,1,St. Norbert College
43.8,0.0,1,1,81996,49138.46,3,2,6,4,Université de Corse Pascal Paoli
33.0,1.0,0,1,45998,44931.54,5,5,1,2,St. Norbert College
39.2,0.0,0,1,45998,44009.44,2,5,1,3,Enugu State University of Science and Technology
34.6,0.0,1,1,63997,49234.94,5,1,1,1,St. Norbert College
29.4,1.0,1,0,45998,46319.71,5,2,6,2,St. Norbert College
45.1,0.0,1,0,63997,44233.87,3,6,1,3,COMSATS Institute of Information Technology
36.4,1.0,0,0,81996,46753.64,5,1,7,2,St. Norbert College
28.8,1.0,1,0,81996,60997.51,5,7,1,2,NHTV Breda University of Professional Education
35.7,0.0,1,0,81996,53392.53,2,6,5,1,Nazarene Bible College
31.5,1.0,0,0,45998,45017.33,5,3,3,5,St. Norbert College
41.4,0.0,1,1,81996,57798.34,5,5,7,2,Enugu State University of Science and Technology
50.3,0.0,0,0,27999,47045.35,3,8,3,1,St. Norbert College
56.2,0.0,0,0,63997,45145.81,5,3,3,2,Nazarene Bible College
39.2,1.0,1,0,81996,51257.91,4,4,1,3,St. Norbert College
26.1,0.0,1,0,27999,41101.44,4,1,1,3,Enugu State University of Science and Technology
21.6,0.0,1,0,63997,42112.7,5,1,2,3,Université de Corse Pascal Paoli
25.4,0.0,0,0,10000,41604.02,3,4,1,3,Université de Corse Pascal Paoli
44.2,1.0,1,0,63997,54467.06,5,5,1,3,Enugu State University of Science and Technology
37.0,0.0,1,1,10000,45033.22,3,4,1,4,St. Norbert College
40.0,0.0,1,0,45998,47471.54,1,3,6,1,Nazarene Bible College
36.0,0.0,0,1,63997,42995.69,1,1,3,2,NHTV Breda University of Professional Education
43.7,1.0,1,0,63997,49338.54,5,5,4,4,St. Norbert College
35.0,0.0,1,0,81996,48575.16,3,4,1,3,Nazarene Bible College
38.8,1.0,0,0,27999,45325.33,5,7,2,2,Enugu State University of Science and Technology
36.9,1.0,1,1,45998,50806.79,5,7,3,2,St. Norbert College
42.6,0.0,1,1,81996,47512.21,5,6,1,3,Université de Corse Pascal Paoli
47.1,0.0,0,1,81996,48454.28,3,8,6,1,St. Norbert College
41.6,1.0,0,1,63997,50234.44,5,5,3,2,St. Norbert College
35.3,1.0,0,0,27999,48918.43,5,4,2,2,St. Norbert College
39.1,0.0,0,1,63997,41575.94,5,2,3,2,Université de Corse Pascal Paoli
53.0,1.0,0,0,27999,55376.24,5,5,3,3,St. Norbert College
36.8,1.0,0,1,63997,46568.3,5,5,1,2,St. Norbert College
26.0,0.0,0,1,81996,52417.84,2,6,7,1,COMSATS Institute of Information Technology
38.8,0.0,1,1,63997,49161.08,4,8,3,2,COMSATS Institute of Information Technology
26.7,1.0,0,1,63997,51629.03,4,5,3,2,St. Norbert College
32.6,1.0,0,1,63997,60002.0,5,7,4,3,COMSATS Institute of Information Technology
51.4,1.0,0,0,27999,49652.99,5,1,2,1,St. Norbert College
18.8,0.0,1,1,45998,41829.06,2,5,4,5,St. Norbert College
35.6,1.0,0,0,81996,46934.82,5,1,1,3,NHTV Breda University of Professional Education
42.6,0.0,1,0,81996,43637.79,5,4,1,2,NHTV Breda University of Professional Education
49.4,1.0,1,1,45998,52486.07,5,4,2,1,St. Norbert College
39.7,1.0,0,1,27999,43077.51,3,1,7,4,St. Norbert College
37.2,1.0,0,0,63997,46850.9,5,3,3,4,NHTV Breda University of Professional Education
35.3,1.0,0,0,45998,47429.96,5,2,1,1,Enugu State University of Science and Technology
22.3,0.0,1,0,45998,43165.66,1,5,2,3,St. Norbert College
38.2,0.0,1,0,81996,46376.47,2,3,3,4,NHTV Breda University of Professional Education
57.3,1.0,0,1,81996,44087.1,5,1,1,4,St. Norbert College
53.8,1.0,0,0,81996,49039.46,5,4,2,1,St. Norbert College
30.2,0.0,0,1,27999,41290.63,3,3,1,5,Enugu State University of Science and Technology
38.1,1.0,0,0,63997,51743.57,5,2,2,2,NHTV Breda University of Professional Education
28.7,0.0,0,1,45998,48856.88,1,2,2,2,Enugu State University of Science and Technology
21.9,0.0,0,1,45998,54249.64,5,2,2,1,St. Norbert College
53.5,0.0,1,1,10000,52612.61,2,2,4,4,Enugu State University of Science and Technology
28.5,1.0,1,0,81996,47493.23,2,3,4,4,St. Norbert College
48.3,1.0,1,0,45998,42997.15,5,2,3,3,St. Norbert College
39.2,1.0,0,0,63997,55630.1,5,3,1,1,COMSATS Institute of Information Technology
41.1,0.0,0,1,10000,46809.47,2,2,1,1,St. Norbert College
47.8,1.0,1,0,27999,51441.49,4,7,4,4,COMSATS Institute of Information Technology
43.2,1.0,0,0,45998,42070.44,5,2,1,3,Enugu State University of Science and Technology
27.5,0.0,0,0,27999,48132.53,5,2,3,1,Enugu State University of Science and Technology
19.3,0.0,0,1,27999,45475.07,5,5,4,1,COMSATS Institute of Information Technology
32.0,0.0,1,1,27999,47547.9,5,3,3,2,NHTV Breda University of Professional Education
40.9,1.0,0,1,63997,52769.38,5,6,7,4,Nazarene Bible College
49.7,1.0,1,1,81996,48717.85,5,7,3,4,St. Norbert College
61.5,0.0,0,1,81996,45574.44,1,5,1,3,NHTV Breda University of Professional Education
43.5,0.0,1,1,10000,41798.3,4,3,1,1,Enugu State University of Science and Technology
31.1,1.0,1,0,27999,52343.74,5,5,4,1,St. Norbert College
36.3,1.0,1,1,81996,64405.94,5,5,6,2,Enugu State University of Science and Technology
28.0,0.0,0,0,63997,47510.94,4,5,1,2,Nazarene Bible College
27.3,0.0,0,1,45998,59165.2,2,4,1,4,Enugu State University of Science and Technology
46.1,1.0,0,1,81996,55036.93,5,5,2,4,Université de Corse Pascal Paoli
37.2,0.0,1,1,45998,43898.12,5,4,4,2,NHTV Breda University of Professional Education
36.1,1.0,1,0,81996,44660.57,4,6,1,3,Enugu State University of Science and Technology
38.8,0.0,1,1,81996,53325.48,5,4,7,1,Enugu State University of Science and Technology
35.8,1.0,1,0,45998,53043.75,5,8,6,4,NHTV Breda University of Professional Education
36.1,0.0,0,0,45998,48361.81,3,2,1,3,COMSATS Institute of Information Technology
23.0,1.0,1,1,81996,65727.61,5,3,3,1,Enugu State University of Science and Technology
42.0,0.0,1,0,81996,43413.47,1,3,7,2,NHTV Breda University of Professional Education
37.5,0.0,0,0,27999,49970.1,5,3,3,3,Université de Corse Pascal Paoli
22.9,0.0,1,0,45998,45607.27,3,4,2,3,St. Norbert College
33.4,1.0,1,1,81996,43780.62,4,4,1,4,Enugu State University of Science and Technology
28.4,1.0,0,1,81996,48120.85,4,6,6,5,St. Norbert College
31.7,0.0,1,1,81996,47044.34,2,3,7,3,NHTV Breda University of Professional Education
40.4,0.0,1,0,10000,48586.1,3,6,2,2,St. Norbert College
44.3,1.0,1,1,45998,45008.86,5,6,4,2,St. Norbert College
41.4,1.0,1,1,27999,43460.11,5,6,1,1,St. Norbert College
44.2,0.0,0,0,27999,52366.27,2,8,1,1,NHTV Breda University of Professional Education
32.3,0.0,0,1,45998,43800.35,3,4,2,2,Université de Corse Pascal Paoli
56.4,1.0,1,0,81996,44664.76,5,5,4,5,St. Norbert College
31.8,1.0,1,1,27999,55544.94,5,8,1,3,Enugu State University of Science and Technology
27.8,1.0,0,1,81996,50572.95,4,2,7,5,Université de Corse Pascal Paoli
36.2,1.0,1,0,27999,55912.09,4,3,5,4,NHTV Breda University of Professional Education
50.2,1.0,0,0,63997,45963.65,5,4,2,5,COMSATS Institute of Information Technology
35.1,0.0,1,1,27999,44229.97,5,3,1,1,St. Norbert College
29.0,0.0,1,0,10000,48596.44,2,8,1,1,Enugu State University of Science and Technology
34.5,1.0,0,1,81996,54589.6,4,8,2,2,St. Norbert College
40.4,1.0,0,0,45998,47545.93,5,1,3,2,St. Norbert College
16.4,1.0,0,1,45998,50998.49,5,3,6,2,St. Norbert College
16.8,1.0,1,0,81996,44131.11,5,2,1,2,St. Norbert College
40.7,1.0,1,0,81996,56827.14,5,6,3,4,Université de Corse Pascal Paoli
20.8,0.0,0,0,81996,45011.56,4,2,1,1,St. Norbert College
32.4,1.0,1,1,45998,46567.16,1,2,1,1,St. Norbert College
34.1,1.0,0,0,10000,44745.31,5,4,1,1,St. Norbert College
9.8,1.0,0,0,27999,53397.54,3,3,1,4,Enugu State University of Science and Technology
22.6,0.0,1,1,45998,44776.98,1,5,2,3,Enugu State University of Science and Technology
43.4,0.0,1,1,27999,47904.6,5,2,2,1,St. Norbert College
30.0,0.0,1,1,45998,52727.23,3,2,3,1,COMSATS Institute of Information Technology
54.1,1.0,0,1,81996,46389.04,5,2,1,4,NHTV Breda University of Professional Education
46.3,0.0,0,0,27999,50624.04,2,5,4,1,Nazarene Bible College
41.8,1.0,1,1,27999,48229.78,5,2,1,4,St. Norbert College
31.1,1.0,0,0,81996,46207.75,5,4,1,2,NHTV Breda University of Professional Education
24.5,0.0,0,1,81996,47858.06,2,6,6,2,St. Norbert College
41.7,0.0,1,0,45998,45813.92,2,8,3,5,St. Norbert College
29.2,0.0,0,0,63997,45290.56,3,2,3,1,St. Norbert College
